Launch Date,Recalls Number,Make,Recalls Model Information,Concern,Defect,Remedy,Vehicle Numbers,Manufacturer Ref,Model,VIN Start,VIN End,Build Start,Build End
26/06/2006,R/2010/184,MERCEDES BENZ,Sprinter,SEAT BELT MAY BECOME INSECURE,It is possible that the mounting bolts for rear seat belts on the rear seats may not have been torqued to the correct specification.,Recall all affected vehicles to check and if necessary  re-torque the mounting bolts.,1,C079,SPRINTER,,,,
18/06/2012,R/2012/084,DENNIS EAGLE,Elite,WHEEL MAY BREAK,Wheel knave may break away from the outer ring due to poor weld penetration. This could lead to the wheel breaking and could cause damage to vehicle.,Replace wheels.,58,CP173,ELITE,SEG2230CR5BB152276,SEG2230CR5BC16415,,
18/02/2014,R/2014/013,MITSUBISHI,ASX,ENGINE MAY STALL,Soot may build on the piston ring causing the ring to seize in the groove allowing combustion gases to by-pass the piston. If not rectified this if ignored could cause the piston to overheat and melt.,Recall the vehicles that are likely to be affected to reprogram the engine ECU with new version software to change the pilot injection timing.,5359,R3023210,ASX,JMAXJGA6WBZ400101,JMAXJGA6WCZ000869,19/04/2010,27/06/2012
22/03/2017,R/2017/101,NISSAN,Cabstar,INCORRECT BODY WIDTH COULD RESTRIC REAR VISABIITY,An an incorrect maximum permissible vehicle width was incorrectly defined on the Certificate of Conformity (COC) documentation. Due to this a customer installing a body conversion according to that defined on the COC may inadvertently fit a body width that could restrict the rear visibility. ,On affected vehciles measure the width of vehicle and where necessary fit extended mirrors,2487,PV7B0,CABSTAR,,,03/11/2011,01/03/2016
24/05/2005,R/2005/045,AUTO-TRAIL ,MOTORHOMES - VARIOUS,POSSIBILITY OF FIRE IN THE FRIDGE,The material used to seal the refrigerator is combustible  and may catch fire.,Recalled vehicles will have the excess material of the seal removed.,99,,MOTORHOMES - VARIOUS,,,,
09/08/2010,R/2010/111,CITROEN,C8 & Dispatch III,BRAKING EFFICIENCY MAY BE COMPROMISED,The threaded portion of the brake linkage rod in the brake control system may not be to conformity. This could result in a reduction of braking efficiency.,Recall affected vehicles to check rod and replace if found not to meet conformity.,630,MFZ,C8,VF7******AZ025918,VF7******AZ030421,24/02/2010,27/05/2010
09/08/2010,R/2010/111,CITROEN,C8 & Dispatch III,BRAKING EFFICIENCY MAY BE COMPROMISED,The threaded portion of the brake linkage rod in the brake control system may not be to conformity. This could result in a reduction of braking efficiency.,Recall affected vehicles to check rod and replace if found not to meet conformity.,630,MFZ,DISPATCH,VF7******AZ025918,VF7******AZ030421,24/02/2010,27/05/2010
06/05/2004,R/2004/084,BMW,5 Series,POSSIBILITY OF INABILITY TO ENGAGE GEAR OR DECLUTCH,Possibility that the pin operating the master cylinder may have been welded incorrectly. Resulting in the inability (on failure) to de-clutch or engage a gear.,Recall likely to be affected vehicles  inspect the subject weld  and replace the clutch pedal if the weld is found to be faulty.,2652,,5 SERIES,,,25/06/2001,31/07/2002
20/10/2012,R/2012/113,FORD,Ranger,SEATBACK MAY NOT ENGAGE CORRECTLY,On affected vehicles the seatback latch may fail to engage correctly  resulting in the rear seatback not being positively secured to the body striker.,Dealers will fit a new hog ring securing the strap to the latch mechanism.,478,2C458R,RANGER,,,05/09/2011,10/05/2012
14/04/2016,RSPV/2016/003,SWIFT,Escape 686  Kon-Tiki 649  Hi-Style 496  Lifestyle 686  Distinction 686 and   Bessacarr 496    ALL MOTORCARAVANS,REAR FACING SEAT FRAME AND/OR SEAT BELTS MAY FAIL,Some of the seat frame bolts on the rear facing travel seats may not be tightened to the correct torque setting.  This could compromise security of the seat frame and seat belt  in the event of an accident.,On affected vehicles check and tighten bolts.,149,140416,ALL MODELS LISTED,ZFA20000002984527,ZFA20000002A85925,13/01/2016,07/04/2016
24/02/2011,R/2011/013,FORD,GRAND CMAX,SECOND ROW SEAT RECLINER LOCKING MECHANISM,Investigations have identified an issue with the second row seating recliner locking mechanism.  It is possible that the seat latch mechanism can be damaged if the seat back is repeatedly slammed into the folded position.  If significant damage has occurred there is a possibility that the seat can be forced to a reclined position without lifting the release lever.,The dealer will perform a check of the seat function and fit an additional bracket that will prevent damage occurring. ,3458,1U365,GRAND CMAX,,,01/03/2010,14/01/2011
24/04/2017,R/2017/140,PEUGEOT,208  2008  308 (t9)  3008 (P84)  508  Traveller and Expert 4,STARTER MOTOR MAY NOT OPERATE CORRECTLY,A possible nonconformity of an internal component of the starter motor relay could affect the control of the starter motor. This could adversely affect the starting operation and damage the starter motor due to overheating and in extreme cases there is a risk of fire.,On affected vehicles check and where necessary replace the starter motor relay.,6768,HPS,2008,VF3******GT174225,VF3******GS210463,15/05/2016,12/10/2016
24/04/2017,R/2017/140,PEUGEOT,208  2008  308 (t9)  3008 (P84)  508  Traveller and Expert 4,STARTER MOTOR MAY NOT OPERATE CORRECTLY,A possible nonconformity of an internal component of the starter motor relay could affect the control of the starter motor. This could adversely affect the starting operation and damage the starter motor due to overheating and in extreme cases there is a risk of fire.,On affected vehicles check and where necessary replace the starter motor relay.,6768,HPS,TRAVELLER,VF3******GT174225,VF3******GS210463,15/05/2016,12/10/2016
24/04/2017,R/2017/140,PEUGEOT,208  2008  308 (t9)  3008 (P84)  508  Traveller and Expert 4,STARTER MOTOR MAY NOT OPERATE CORRECTLY,A possible nonconformity of an internal component of the starter motor relay could affect the control of the starter motor. This could adversely affect the starting operation and damage the starter motor due to overheating and in extreme cases there is a risk of fire.,On affected vehicles check and where necessary replace the starter motor relay.,6768,HPS,208,VF3******GT174225,VF3******GS210463,15/05/2016,12/10/2016
24/04/2017,R/2017/140,PEUGEOT,208  2008  308 (t9)  3008 (P84)  508  Traveller and Expert 4,STARTER MOTOR MAY NOT OPERATE CORRECTLY,A possible nonconformity of an internal component of the starter motor relay could affect the control of the starter motor. This could adversely affect the starting operation and damage the starter motor due to overheating and in extreme cases there is a risk of fire.,On affected vehicles check and where necessary replace the starter motor relay.,6768,HPS,308,VF3******GT174225,VF3******GS210463,15/05/2016,12/10/2016
24/04/2017,R/2017/140,PEUGEOT,208  2008  308 (t9)  3008 (P84)  508  Traveller and Expert 4,STARTER MOTOR MAY NOT OPERATE CORRECTLY,A possible nonconformity of an internal component of the starter motor relay could affect the control of the starter motor. This could adversely affect the starting operation and damage the starter motor due to overheating and in extreme cases there is a risk of fire.,On affected vehicles check and where necessary replace the starter motor relay.,6768,HPS,508,VF3******GT174225,VF3******GS210463,15/05/2016,12/10/2016
24/04/2017,R/2017/140,PEUGEOT,208  2008  308 (t9)  3008 (P84)  508  Traveller and Expert 4,STARTER MOTOR MAY NOT OPERATE CORRECTLY,A possible nonconformity of an internal component of the starter motor relay could affect the control of the starter motor. This could adversely affect the starting operation and damage the starter motor due to overheating and in extreme cases there is a risk of fire.,On affected vehicles check and where necessary replace the starter motor relay.,6768,HPS,EXPERT 4,VF3******GT174225,VF3******GS210463,15/05/2016,12/10/2016
24/04/2017,R/2017/140,PEUGEOT,208  2008  308 (t9)  3008 (P84)  508  Traveller and Expert 4,STARTER MOTOR MAY NOT OPERATE CORRECTLY,A possible nonconformity of an internal component of the starter motor relay could affect the control of the starter motor. This could adversely affect the starting operation and damage the starter motor due to overheating and in extreme cases there is a risk of fire.,On affected vehicles check and where necessary replace the starter motor relay.,6768,HPS,3008,VF3******GT174225,VF3******GS210463,15/05/2016,12/10/2016
24/04/2017,R/2017/140,PEUGEOT,208  2008  308 (t9)  3008 (P84)  508  Traveller and Expert 4,STARTER MOTOR MAY NOT OPERATE CORRECTLY,A possible nonconformity of an internal component of the starter motor relay could affect the control of the starter motor. This could adversely affect the starting operation and damage the starter motor due to overheating and in extreme cases there is a risk of fire.,On affected vehicles check and where necessary replace the starter motor relay.,6768,HPS,2008,VF3******GT174225,VF3******GS210463,15/05/2016,12/10/2016
01/02/2008,RSPV/2008/005,KYMCO,MXU 500,POTENTIAL LOSS OF CONTROL,It has been identified that the rear swing arm bolts may become loose  or detach causing loss of control. ,Recalled vehicles will have the swing arm bolts replaced and spacers with ocking clips fitted,45,,MXU500,RFBL7000062300101,RFBL7001072300163,,
30/06/2017,R/2017/180,CITROEN,C3,LEFT HAND CURTAIN AIRBAG MAY NOT BE TO SPECIFICATION,A component within the left-hand curtain airbag may not conform to specification and the air bag may not deploy correctly.,On affected vehicles replace the left hand curtain air bag.,8,GAM,C3,VF7******HT515752,VF7******HT509642,04/01/2017,22/02/2017
28/02/2002,R/2002/005,PEUGEOT,106,FRONT AIR BAG(S) MAY NOT DEPLOY.,The driver and  where fitted  passenger air bags may not deploy correctly in an accident due to a fault in the electronic control unit (ECU).,Recall affected vehicles  conduct a diagnostic check on the ECU and rectify or replace as appropriate.,86,XSY,106,Built out of sequence.,,,
28/09/2009,R/2009/073,LAND ROVER,Discovery 3 TDV6 & Range Rover Sport TDV6,POSSIBLE REDUCTION IN BRAKING ASSISTANCE,It has been identified that  some vehicles may experience a reduction in braking performance leading to increased stopping distance  due to the possibility of oil entering the brake booster or the brake vacuum pump non-return valve sticking in the closed position after cold start.,All recalled vehicles will be fitted with a modified brake vacuum pipe along with a revised design non-return valve in the secondary port of the vacuum pump.,77262,P017,DISCOVERY,SALLAAA345A000001,SALLAAA149A513325,27/01/2003,26/06/2009
28/09/2009,R/2009/073,LAND ROVER,Discovery 3 TDV6 & Range Rover Sport TDV6,POSSIBLE REDUCTION IN BRAKING ASSISTANCE,It has been identified that  some vehicles may experience a reduction in braking performance leading to increased stopping distance  due to the possibility of oil entering the brake booster or the brake vacuum pump non-return valve sticking in the closed position after cold start.,All recalled vehicles will be fitted with a modified brake vacuum pipe along with a revised design non-return valve in the secondary port of the vacuum pump.,77262,P017,RANGE ROVER SPORT,SALLSAA547A100000,SALLSAA649A215618,10/01/2007,26/06/2009
28/09/2009,R/2009/073,LAND ROVER,Discovery 3 TDV6 & Range Rover Sport TDV6,POSSIBLE REDUCTION IN BRAKING ASSISTANCE,It has been identified that  some vehicles may experience a reduction in braking performance leading to increased stopping distance  due to the possibility of oil entering the brake booster or the brake vacuum pump non-return valve sticking in the closed position after cold start.,All recalled vehicles will be fitted with a modified brake vacuum pipe along with a revised design non-return valve in the secondary port of the vacuum pump.,77262,P017,RANGE ROVER SPORT,SALLSAA146A929086,SALLSAA247A999999,31/10/2005,10/01/2007
28/09/2009,R/2009/073,LAND ROVER,Discovery 3 TDV6 & Range Rover Sport TDV6,POSSIBLE REDUCTION IN BRAKING ASSISTANCE,It has been identified that  some vehicles may experience a reduction in braking performance leading to increased stopping distance  due to the possibility of oil entering the brake booster or the brake vacuum pump non-return valve sticking in the closed position after cold start.,All recalled vehicles will be fitted with a modified brake vacuum pipe along with a revised design non-return valve in the secondary port of the vacuum pump.,77262,P017,DISCOVERY,SALLAAA136A367110,SALLAAA149A513325,31/10/2005,26/06/2009
28/09/2009,R/2009/073,LAND ROVER,Discovery 3 TDV6 & Range Rover Sport TDV6,POSSIBLE REDUCTION IN BRAKING ASSISTANCE,It has been identified that  some vehicles may experience a reduction in braking performance leading to increased stopping distance  due to the possibility of oil entering the brake booster or the brake vacuum pump non-return valve sticking in the closed position after cold start.,All recalled vehicles will be fitted with a modified brake vacuum pipe along with a revised design non-return valve in the secondary port of the vacuum pump.,77262,P017,RANGE ROVER SPORT,SALLSEB145A900002,SALLSAA649A215618,20/10/2004,26/06/2009
21/02/2008,R/2008/001,FORD,Focus Estate with 1.6 Ltr Diesel Engine,ELECTRONIC COOLING FAN CONTROL MODULE MAY OVERHEAT,In markets where salt is used on roads in winter  corrosion may form and propagate into the electronic fan control module and in extreme cases may cause the module to overheat. In rare cases the overheating may be sufficient to ignite the module  surrounding wiring and components.,Recall affected vehicles and replace the cooling fan and motor assembly.,8506,7C153,FOCUS,,,16/07/2004,01/12/2006
